* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:32:29 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 0
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
931.618 82.135 0.024 0.019 0.0080 0.011 0.0072 0.0084 0.0095 0.0067 0.0076 0.0086
958.917 82.137 0.025 0.016 0.0091 0.0081 0.0063 0.0094 0.0088 0.0092 0.0076 0.012
987.015 82.138 0.023 0.011 0.0087 0.010 0.0059 0.0077 0.0075 0.0077 0.0074 0.0096
1015.937 82.139 0.023 0.018 0.0094 0.011 0.0057 0.0086 0.0085 0.0075 0.0066 0.0072
1045.706 82.140 0.023 0.017 0.0094 0.0094 0.0072 0.0088 0.0075 0.0072 0.0099 0.0060
1076.347 82.140 0.025 0.022 0.0095 0.0091 0.0083 0.0085 0.0069 0.0089 0.0099 0.0082
1107.887 82.141 0.026 0.015 0.011 0.011 0.0083 0.0072 0.0086 0.0087 0.0077 0.0091
1140.350 82.141 0.025 0.021 0.0084 0.012 0.0087 0.0087 0.0082 0.0072 0.0095 0.0082
1173.765 82.142 0.025 0.021 0.0086 0.010 0.0091 0.0081 0.0086 0.0083 0.0078 0.0089
1208.159 82.142 0.028 0.017 0.012 0.0096 0.011 0.0094 0.0088 0.0095 0.0078 0.0098
1243.561 82.143 0.029 0.018 0.012 0.0100 0.012 0.011 0.0087 0.0080 0.0095 0.011
1280.000 82.144 0.027 0.017 0.0090 0.012 0.012 0.010 0.0092 0.0073 0.0089 0.0090
1317.507 82.145 0.026 0.023 0.0091 0.011 0.0091 0.010 0.0079 0.0095 0.0097 0.0076
1356.113 82.145 0.028 0.023 0.0091 0.012 0.0080 0.013 0.0087 0.0099 0.0097 0.0079
1395.850 82.146 0.027 0.018 0.0085 0.011 0.0093 0.010 0.0076 0.0094 0.0091 0.0090
