* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:52:14 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: SSL 20 Oct 16
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
465.809 91.659 0.051 0.0035 0.049 0.013 0.0026 0.0018 0.0022 0.0020 0.0021 0.0021
479.458 91.660 0.051 0.0045 0.049 0.013 0.0025 0.0020 0.0024 0.0018 0.0023 0.0019
493.507 91.663 0.052 0.0040 0.050 0.014 0.0023 0.0024 0.0019 0.0019 0.0025 0.0017
507.968 91.664 0.052 0.0044 0.049 0.014 0.0022 0.0026 0.0020 0.0014 0.0025 0.0017
522.853 91.663 0.050 0.0052 0.048 0.013 0.0018 0.0027 0.0019 0.0014 0.0022 0.0023
538.174 91.656 0.051 0.0044 0.050 0.012 0.0018 0.0026 0.0017 0.0014 0.0027 0.0019
553.943 91.647 0.053 0.0030 0.051 0.012 0.0019 0.0024 0.0023 0.0013 0.0027 0.0016
570.175 91.635 0.053 0.0034 0.052 0.012 0.0029 0.0026 0.0020 0.0020 0.0028 0.0018
586.883 91.621 0.052 0.0042 0.050 0.012 0.0031 0.0019 0.0018 0.0018 0.0028 0.0028
604.080 91.608 0.051 0.0031 0.049 0.011 0.0028 0.0021 0.0020 0.0019 0.0027 0.0029
621.780 91.600 0.051 0.0034 0.049 0.012 0.0024 0.0016 0.0021 0.0022 0.0028 0.0023
640.000 91.591 0.048 0.0030 0.046 0.012 0.0027 0.0018 0.0024 0.0027 0.0027 0.0025
658.753 91.580 0.050 0.0040 0.048 0.013 0.0027 0.0016 0.0020 0.0019 0.0027 0.0023
678.056 91.573 0.052 0.0038 0.050 0.014 0.0024 0.0024 0.0024 0.0020 0.0018 0.0031
697.925 91.552 0.052 0.0045 0.050 0.014 0.0027 0.0028 0.0019 0.0024 0.0018 0.0023
718.376 91.509 0.050 0.0045 0.048 0.014 0.0033 0.0024 0.0021 0.0025 0.0023 0.0026
739.426 91.470 0.052 0.0042 0.050 0.012 0.0033 0.0022 0.0020 0.0031 0.0025 0.0032
761.093 91.456 0.052 0.0050 0.050 0.0099 0.0033 0.0021 0.0026 0.0031 0.0026 0.0024
783.394 91.461 0.049 0.0045 0.047 0.012 0.0029 0.0025 0.0026 0.0024 0.0035 0.0028
806.349 91.487 0.051 0.0049 0.049 0.014 0.0033 0.0021 0.0032 0.0023 0.0028 0.0033
829.977 91.521 0.052 0.0045 0.049 0.015 0.0032 0.0026 0.0030 0.0017 0.0019 0.0030
854.297 91.536 0.052 0.0045 0.050 0.014 0.0026 0.0029 0.0026 0.0021 0.0026 0.0025
879.330 91.542 0.050 0.0040 0.048 0.013 0.0026 0.0027 0.0029 0.0025 0.0024 0.0024
905.097 91.547 0.052 0.0048 0.049 0.014 0.0034 0.0026 0.0026 0.0033 0.0024 0.0024
931.618 91.549 0.053 0.0053 0.050 0.014 0.0029 0.0028 0.0035 0.0036 0.0030 0.0026
958.917 91.547 0.052 0.0044 0.050 0.013 0.0027 0.0025 0.0030 0.0033 0.0026 0.0027
987.015 91.551 0.052 0.0049 0.049 0.013 0.0032 0.0027 0.0028 0.0032 0.0029 0.0030
1015.937 91.564 0.053 0.0046 0.050 0.014 0.0042 0.0032 0.0029 0.0031 0.0033 0.0031
1045.706 91.572 0.052 0.0059 0.050 0.013 0.0042 0.0027 0.0030 0.0033 0.0034 0.0028
1076.347 91.565 0.053 0.0056 0.051 0.014 0.0032 0.0032 0.0036 0.0035 0.0026 0.0034
1107.887 91.548 0.052 0.0051 0.050 0.014 0.0024 0.0027 0.0032 0.0028 0.0028 0.0038
1140.350 91.527 0.053 0.0062 0.051 0.014 0.0034 0.0031 0.0035 0.0027 0.0026 0.0038
1173.765 91.507 0.053 0.0054 0.051 0.013 0.0031 0.0032 0.0045 0.0028 0.0028 0.0039
1208.159 91.488 0.054 0.0047 0.051 0.014 0.0029 0.0031 0.0035 0.0030 0.0035 0.0038
1243.561 91.477 0.053 0.0045 0.051 0.014 0.0036 0.0034 0.0033 0.0026 0.0042 0.0033
1280.000 91.477 0.054 0.0065 0.051 0.015 0.0031 0.0033 0.0024 0.0032 0.0032 0.0032
1317.507 91.475 0.053 0.0046 0.050 0.014 0.0025 0.0029 0.0031 0.0034 0.0035 0.0035
1356.113 91.465 0.053 0.0067 0.050 0.015 0.0030 0.0031 0.0033 0.0040 0.0031 0.0038
1395.850 91.455 0.052 0.0056 0.049 0.014 0.0027 0.0034 0.0032 0.0036 0.0029 0.0027
1436.751 91.451 0.053 0.0047 0.050 0.015 0.0034 0.0032 0.0034 0.0031 0.0032 0.0030
1478.851 91.438 0.052 0.0055 0.049 0.014 0.0035 0.0036 0.0032 0.0038 0.0036 0.0032
1522.185 91.399 0.054 0.0051 0.051 0.015 0.0034 0.0041 0.0037 0.0039 0.0033 0.0032
1566.789 91.357 0.053 0.0056 0.050 0.015 0.0039 0.0040 0.0044 0.0037 0.0030 0.0039
1612.699 91.336 0.053 0.0067 0.050 0.014 0.0041 0.0035 0.0041 0.0038 0.0038 0.0038
1659.955 91.342 0.054 0.0080 0.051 0.014 0.0043 0.0038 0.0043 0.0040 0.0041 0.0048
1708.595 91.349 0.056 0.0066 0.053 0.014 0.0039 0.0037 0.0051 0.0040 0.0039 0.0042
1758.661 91.342 0.057 0.0079 0.054 0.014 0.0038 0.0037 0.0049 0.0041 0.0037 0.0042
1810.193 91.322 0.057 0.0050 0.055 0.014 0.0042 0.0044 0.0037 0.0036 0.0032 0.0042
1863.236 91.292 0.057 0.0069 0.055 0.013 0.0044 0.0038 0.0036 0.0037 0.0031 0.0042
1917.833 91.288 0.056 0.0069 0.053 0.014 0.0049 0.0045 0.0041 0.0038 0.0037 0.0044
1974.030 91.291 0.056 0.0075 0.052 0.016 0.0046 0.0046 0.0044 0.0034 0.0036 0.0042
2031.873 91.287 0.055 0.0063 0.052 0.015 0.0039 0.0045 0.0040 0.0038 0.0038 0.0042
2091.412 91.297 0.056 0.0058 0.054 0.014 0.0036 0.0041 0.0041 0.0039 0.0041 0.0033
2152.695 91.315 0.057 0.0089 0.054 0.013 0.0041 0.0046 0.0036 0.0035 0.0042 0.0029
2215.774 91.314 0.056 0.0072 0.054 0.013 0.0039 0.0043 0.0040 0.0038 0.0035 0.0026
2280.701 91.317 0.056 0.0061 0.053 0.015 0.0040 0.0044 0.0044 0.0038 0.0036 0.0016
