* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:35:23 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 10
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
1612.699 106.920 0.071 0.012 0.068 0.014 0.0051 0.0057 0.0063 0.0060 0.0066 0.0062
1659.955 106.912 0.068 0.0092 0.065 0.012 0.0045 0.0056 0.0064 0.0064 0.0066 0.0070
1708.595 106.911 0.071 0.0079 0.068 0.012 0.0055 0.0050 0.0051 0.0077 0.0059 0.0064
1758.661 106.919 0.074 0.011 0.071 0.013 0.0070 0.0052 0.0057 0.0065 0.0059 0.0071
1810.193 106.930 0.076 0.011 0.073 0.014 0.0059 0.0054 0.0060 0.0059 0.0057 0.0066
1863.236 106.937 0.073 0.012 0.071 0.012 0.0063 0.0054 0.0053 0.0054 0.0056 0.0077
1917.833 106.937 0.073 0.011 0.070 0.012 0.0062 0.0057 0.0063 0.0058 0.0065 0.0078
1974.030 106.934 0.075 0.0096 0.072 0.012 0.0064 0.0063 0.0061 0.0079 0.0067 0.0060
2031.873 106.926 0.075 0.011 0.072 0.014 0.0073 0.0072 0.0058 0.0080 0.0063 0.0063
2091.412 106.913 0.073 0.013 0.070 0.014 0.0059 0.0060 0.0064 0.0067 0.0073 0.0053
2152.695 106.906 0.074 0.013 0.071 0.012 0.0052 0.0068 0.0055 0.0070 0.0077 0.0049
2215.774 106.915 0.076 0.015 0.074 0.011 0.0066 0.0066 0.0056 0.0078 0.0075 0.0045
2280.701 106.928 0.075 0.012 0.073 0.010 0.0063 0.0069 0.0070 0.0083 0.0065 0.0035
